,word,type,cefr,phon_br,phon_n_am,definition,example,uk,us
537,dependent,adjective,b2,/dɪˈpendənt/,/dɪˈpendənt/,needing somebody/something in order to survive or be successful,a woman with several dependent children,dependent_uk.mp3,dependent_us.mp3
538,depict,verb,c1,/dɪˈpɪkt/,/dɪˈpɪkt/,to show an image of somebody/something in a picture,"depict somebody/something (as somebody/something), a painting depicting the Virgin and Child",depict_uk.mp3,depict_us.mp3
539,deploy,verb,c1,/dɪˈplɔɪ/,/dɪˈplɔɪ/,to move soldiers or weapons into a position where they are ready for military action,2 000 troops were deployed in the area.,deploy_uk.mp3,deploy_us.mp3
540,deployment,noun,c1,/dɪˈplɔɪmənt/,/dɪˈplɔɪmənt/,the act of moving soldiers or weapons into a position where they are ready for military action,the deployment of peacekeeping forces,deployment_uk.mp3,deployment_us.mp3
541,deposit,noun,b2,/dɪˈpɒzɪt/,/dɪˈpɑːzɪt/,a sum of money that is given as the first part of a larger payment,They normally ask you to pay $100 (as a) deposit.,deposit_uk.mp3,deposit_us.mp3
542,deposit,verb,c1,/dɪˈpɒzɪt/,/dɪˈpɑːzɪt/,to put money into a bank account,Millions were deposited in Swiss bank accounts.,deposit_uk.mp3,deposit_us.mp3
543,depression,noun,b2,/dɪˈpreʃn/,/dɪˈpreʃn/,"a medical condition in which a person feels very sad, anxious and without hope and often has physical symptoms such as being unable to sleep, etc.",She was diagnosed as having clinical depression.,depression_uk.mp3,depression_us.mp3
544,deprive,verb,c1,/dɪˈpraɪv/,/dɪˈpraɪv/,,,deprive_uk.mp3,deprive_us.mp3
545,deputy,noun,c1,/ˈdepjuti/,/ˈdepjuti/,"a person who is the next most important person below a business manager, a head of a school, a political leader, etc. and who does that person’s job when they are away",I'm acting as deputy till the manager returns.,deputy_uk.mp3,deputy_us.mp3
546,derive,verb,b2,/dɪˈraɪv/,/dɪˈraɪv/,,,derive_uk.mp3,derive_us.mp3
547,descend,verb,c1,/dɪˈsend/,/dɪˈsend/,to come or go down from a higher to a lower level,The plane began to descend.,descend_uk.mp3,descend_us.mp3
548,descent,noun,c1,/dɪˈsent/,/dɪˈsent/,an action of coming or going down,The plane began its descent to Heathrow.,descent_uk.mp3,descent_us.mp3
549,designate,verb,c1,/ˈdezɪɡneɪt/,/ˈdezɪɡneɪt/,to say officially that somebody/something has a particular character or name; to describe somebody/something in a particular way,"be designated (as) something, This area has been designated (as) a National Park.",designate_uk.mp3,designate_us.mp3
550,desirable,adjective,c1,/dɪˈzaɪərəbl/,/dɪˈzaɪərəbl/,that you would like to have or do; worth having or doing,She chatted for a few minutes about the qualities she considered desirable in a secretary.,desirable_uk.mp3,desirable_us.mp3
551,desktop,noun,c1,/ˈdesktɒp/,/ˈdesktɑːp/,a screen on a computer that shows the icons of programs and files that can be used,desktop icons,desktop_uk.mp3,desktop_us.mp3
552,desperately,adverb,b2,/ˈdespərətli/,/ˈdespərətli/,in a way that shows you have little hope and are ready to do anything without worrying about danger to yourself or others,She looked desperately around for a weapon.,desperately_uk.mp3,desperately_us.mp3
553,destruction,noun,b2,/dɪˈstrʌkʃn/,/dɪˈstrʌkʃn/,the act of destroying something; the process of being destroyed,the destruction of the rainforests,destruction_uk.mp3,destruction_us.mp3
554,destructive,adjective,c1,/dɪˈstrʌktɪv/,/dɪˈstrʌktɪv/,causing destruction or damage,The war demonstrated the destructive power of modern weapons.,destructive_uk.mp3,destructive_us.mp3
555,detain,verb,c1,/dɪˈteɪn/,/dɪˈteɪn/,"to keep somebody in an official place, such as a police station, a prison or a hospital, and prevent them from leaving",One man has been detained for questioning.,detain_uk.mp3,detain_us.mp3
556,detection,noun,c1,/dɪˈtekʃn/,/dɪˈtekʃn/,"the process of discovering or noticing something, especially something that is not easy to see, hear, etc.; the fact of being discovered or noticed ",crime prevention and detection,detection_uk.mp3,detection_us.mp3
557,detention,noun,c1,/dɪˈtenʃn/,/dɪˈtenʃn/,"the state of being kept in a place, especially a prison, and prevented from leaving",They were sentenced to 12 months' detention in a young offender institution.,detention_uk.mp3,detention_us.mp3
558,deteriorate,verb,c1,/dɪˈtɪəriəreɪt/,/dɪˈtɪriəreɪt/,to become worse,"Her health deteriorated rapidly, and she died shortly afterwards.",deteriorate_uk.mp3,deteriorate_us.mp3
559,determination,noun,b2,/dɪˌtɜːmɪˈneɪʃn/,/dɪˌtɜːrmɪˈneɪʃn/,the quality that makes you continue trying to do something even when this is difficult,fierce/grim/dogged determination,determination_uk.mp3,determination_us.mp3
560,devastate,verb,c1,/ˈdevəsteɪt/,/ˈdevəsteɪt/,to completely destroy a place or an area,The bomb devastated much of the old part of the city.,devastate_uk.mp3,devastate_us.mp3
561,devil,noun,c1,/ˈdevl/,/ˈdevl/,the most powerful evil being,belief in the Devil,devil_uk.mp3,devil_us.mp3
562,devise,verb,c1,/dɪˈvaɪz/,/dɪˈvaɪz/,to invent something new or a new way of doing something,A new system has been devised to control traffic in the city.,devise_uk.mp3,devise_us.mp3
563,devote,verb,b2,/dɪˈvəʊt/,/dɪˈvəʊt/,,,devote_uk.mp3,devote_us.mp3
564,diagnose,verb,c1,/ˈdaɪəɡnəʊz/,/ˌdaɪəɡˈnəʊs/,to say exactly what an illness or the cause of a problem is,"diagnose something, The test is used to diagnose a variety of diseases.",diagnose_uk.mp3,diagnose_us.mp3
565,diagnosis,noun,c1,/ˌdaɪəɡˈnəʊsɪs/,/ˌdaɪəɡˈnəʊsɪs/,the act of discovering or identifying the exact cause of an illness or a problem,a diagnosis of lung cancer,diagnosis_uk.mp3,diagnosis_us.mp3
566,dictate,verb,c1,/dɪkˈteɪt/,/ˈdɪkteɪt/,"to tell somebody what to do, especially in an annoying way","dictate something (to somebody), They are in no position to dictate terms (= tell other people what to do).",dictate_uk.mp3,dictate_us.mp3
567,dictator,noun,c1,/dɪkˈteɪtə(r)/,/ˈdɪkteɪtər/,"a political leader who has complete power over a country, especially one who has gained it using military force",The country suffered at the hands of a series of military dictators.,dictator_uk.mp3,dictator_us.mp3
568,differ,verb,b2,/ˈdɪfə(r)/,/ˈdɪfər/,to be different from somebody/something,They hold differing views.,differ_uk.mp3,differ_us.mp3
569,differentiate,verb,c1,/ˌdɪfəˈrenʃieɪt/,/ˌdɪfəˈrenʃieɪt/,to recognize or show that two things are not the same,"differentiate (between) A and B, It's difficult to differentiate between the two varieties.",differentiate_uk.mp3,differentiate_us.mp3
570,dignity,noun,c1,/ˈdɪɡnəti/,/ˈdɪɡnəti/,a calm and serious manner that deserves respect,She accepted the criticism with quiet dignity.,dignity_uk.mp3,dignity_us.mp3
571,dilemma,noun,c1,/dɪˈlemə/,/dɪˈlemə/,"a situation that makes problems, often one in which you have to make a very difficult choice between things of equal importance",I could see no way of resolving this moral dilemma.,dilemma_uk.mp3,dilemma_us.mp3
572,dimension,noun,c1,/daɪˈmenʃn/,/daɪˈmenʃn/,"a measurement in space, for example how high, wide or long something is",We measured the dimensions of the kitchen.,dimension_uk.mp3,dimension_us.mp3
